blueprint_id;name;category;craft_time_seconds;tiers;version;ingredient_slot;ingredient_name;ingredient_quantity_scu;ingredient_min_quality;ingredient_unit
bp_craft_gmni_sniper_ballistic_01_arctic01;"A03 ""Canuto"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;FRAME;Taranite;0.06;;
bp_craft_gmni_sniper_ballistic_01_arctic01;"A03 ""Canuto"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;STOCK;Hephaestanite;0.02;;
bp_craft_gmni_sniper_ballistic_01_arctic01;"A03 ""Canuto"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;BARREL;Iron;0.03;;
bp_craft_gmni_sniper_ballistic_01_arctic01;"A03 ""Canuto"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;PRECISION PARTS;Hadanite;1;;
bp_craft_gmni_sniper_ballistic_01_urban01;"A03 ""Lodestone"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;FRAME;Taranite;0.06;;
bp_craft_gmni_sniper_ballistic_01_urban01;"A03 ""Lodestone"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;STOCK;Hephaestanite;0.02;;
bp_craft_gmni_sniper_ballistic_01_urban01;"A03 ""Lodestone"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;BARREL;Iron;0.03;;
bp_craft_gmni_sniper_ballistic_01_urban01;"A03 ""Lodestone"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;PRECISION PARTS;Hadanite;1;;
bp_craft_gmni_sniper_ballistic_01_green_grey01;"A03 ""Luckbringer"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;FRAME;Taranite;0.06;;
bp_craft_gmni_sniper_ballistic_01_green_grey01;"A03 ""Luckbringer"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;STOCK;Hephaestanite;0.02;;
bp_craft_gmni_sniper_ballistic_01_green_grey01;"A03 ""Luckbringer"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;BARREL;Iron;0.03;;
bp_craft_gmni_sniper_ballistic_01_green_grey01;"A03 ""Luckbringer"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;PRECISION PARTS;Hadanite;1;;
bp_craft_gmni_sniper_ballistic_01_firerats01;"A03 ""Scorched"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;FRAME;Taranite;0.06;;
bp_craft_gmni_sniper_ballistic_01_firerats01;"A03 ""Scorched"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;STOCK;Hephaestanite;0.02;;
bp_craft_gmni_sniper_ballistic_01_firerats01;"A03 ""Scorched"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;BARREL;Iron;0.03;;
bp_craft_gmni_sniper_ballistic_01_firerats01;"A03 ""Scorched"" Sniper Rifle";Weapons / Sniper;180;1;LIVE-4.7.0-11592622;PRECISION PARTS;Hadanite;1;;
bp_craft_gmni_sniper_ballistic_01;A03 Sniper Rifle;Weapons / Sniper;180;1;LIVE-4.7.0-11592622;FRAME;Taranite;0.06;;
bp_craft_gmni_sniper_ballistic_01;A03 Sniper Rifle;Weapons / Sniper;180;1;LIVE-4.7.0-11592622;STOCK;Hephaestanite;0.02;;
bp_craft_gmni_sniper_ballistic_01;A03 Sniper Rifle;Weapons / Sniper;180;1;LIVE-4.7.0-11592622;BARREL;Iron;0.03;;
bp_craft_gmni_sniper_ballistic_01;A03 Sniper Rifle;Weapons / Sniper;180;1;LIVE-4.7.0-11592622;PRECISION PARTS;Hadanite;1;;
bp_craft_gmni_sniper_ballistic_01_mag;A03 Sniper Rifle Magazine (15 cap);Ammo / Ballistic;10;1;LIVE-4.7.0-11592622;MAGAZINE;Hephaestanite;0.03;;
bp_craft_gmni_sniper_ballistic_01_mag;A03 Sniper Rifle Magazine (15 cap);Ammo / Ballistic;10;1;LIVE-4.7.0-11592622;CORE;Tungsten;0.03;;
bp_craft_cds_undersuit_helmet_01_01_01;A23 Helmet Woodland;Armour / Undersuit;90;1;LIVE-4.7.0-11592622;SUIT UNDERLAY;Silicon;0.03;;
bp_craft_cds_legacy_armor_heavy_arms_01_9tails_01;ADP Arms (Modified);Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_9tails_01;ADP Arms (Modified);Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_17;ADP Arms Aqua;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_17;ADP Arms Aqua;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_12;ADP Arms Black;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_12;ADP Arms Black;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_07;ADP Arms Blue;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_07;ADP Arms Blue;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_crus01_01;ADP Arms Crusader Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_crus01_01;ADP Arms Crusader Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
